Target Domain,Source Domain,GPT3 Completion,Example
mind,body,"In the sentence above, the mind is being described using adjectives that are usually used in talking about the body. Strong and supple are adjectives commonly used to describe the physical attributes of the body. Thus, the mind is being indirectly compared to the body.
Source Domain: body fitness",His mind is strong and supple.
mind,body,"In the sentence above, the idea is described as something physical that can slip through fingers. This metaphor suggests that ideas are seen as tangible objects that are handled and manipulated. 
Source Domain: physical objects",The idea just slipped through my fingers.
problem,body of water,"In the sentence above, the problem is described as something that can be physically dived into, thus it has properties of water. 
Source Domain: water",He dived right into the problem.
problem,body of water,"In the sentence above, coming up empty refers to the lack of success in finding a desired solution or outcome. This implies that the problem is being treated like a physical container to search for something in, but the search is unsuccessful. 
Source Domain: searching in a container.",He kept coming up empty.
importance,centrality,"In the sentence above, details can be stripped away, indicating that they have weight or value. The word ""unimportant"" suggests that there are important details which need to be retained. Therefore, importance can be seen as a property of objects that can be added or removed. 
Source Domain: physical objects being stripped of their properties.",Let's strip away all the unimportant details.
importance,centrality,"In the above sentence, the term 'peripheral issue' implies that the issue is not at the center or core, but rather at the edges. This represents the metaphorical mapping of the target domain of importance onto the source domain of physical orientation and spatial location. 
Source Domain: physical orientation and spatial location.",That's just a peripheral issue.
disparity,change,"In the sentence above, the height of the phone poles changes as one gets closer to the freeway. This change in height creates a sense of difference or discrepancy between the two areas. Thus, the sentence implies a metaphorical sense of disparity between different positions or places.
Source Domain: height or physical distance",The phone poles get taller as you approach the freeway.
disparity,change,"In the sentence above, the fact that the president changes every four years suggests that there is a natural cycle of change that is inherent to the position of the presidency. This implies that variations and differences in leadership are expected and normal, thus suggesting a conceptual metaphor of disparity. 
Source Domain: cycle of change/rotation",The president changes every four years.
obligations,children,"In this sentence, the phrase ""his baby"" is being used to describe something that is important and requires a lot of attention and care. The phrase is metaphorical and implies that the person has an obligation to take care of the task at hand as they would take care of their own child. 
Source Domain: taking care of a child",The setting of salaries is his baby.
obligations,children,"In the sentence above, duties are described as something that can be neglected, just like a plant or a child can be neglected. Neglecting duties is a metaphorical transfer from neglecting physical objects or living beings.
Source Domain: neglecting living things or objects.",He's been neglecting his duties.
purpose,direction,"In the sentence above, the person is described as floating around, meaning they don't have a clear direction or goal. This implies that movement without direction is undesirable, linking purpose with movement. 
Source Domain: direction/movement",He is just floating around.
purpose,direction,"In the sentence above, direction is used as a metaphor for purpose or goal. The person described has no clear purpose or direction in life, just like a drifter who does not have a clear destination or route. 
Source Domain: travel/direction",She is a drifter with no direction.
facial expression,cover,"In the sentence above, the smile is being talked about as something that can be wiped off, like a physical thing, thus, it is being conceptualized as a stain or dirt on a person's face. 
Source Domain: cleaning/erasing",Wipe that smile off your face.
facial expression,cover,"In the sentence above, a facial expression is described as something that can be lifted, just like a weight or a burden in the physical world. 
Source Domain: lifting a weight/burden.",The disquiteting expression was lifted from her face.
defeat,drowning,"In the sentence above, the phrase ""keep my head above water"" is a metaphorical expression that means to survive or to avoid being overwhelmed by difficulties. The metaphor is based on the idea of a person who is struggling to stay afloat in water and not drown. Therefore, the metaphor suggests that the person is facing a challenging situation and is trying to avoid being defeated by it.
Source Domain: drowning/water survival",I'm just trying to keep my head above water.
defeat,drowning,"In the sentence above, getting in over your head is used to describe a situation where someone faces defeat because they have unknowingly taken on more than they can handle. This metaphor draws from the physical experience of swimming in deep water, where the water can be over one's head and lead to drowning. 
Source Domain: swimming/drowning",Try not to get in over your head.
emotion stability,grounding,"In the sentence above, having one's ""feet on the ground"" means having emotional stability and being practical. This is because physical stability is used as a metaphor for emotional stability. 
Source Domain: physical stability",She has her feet on the ground.
emotion stability,grounding,"In the above sentence, being ""up in the air"" refers to a state of uncertainty or indecisiveness. The metaphorical mapping is from physical stability (being grounded) to emotional stability. 
Source Domain: physical stability",I'm up in the air.
intelligence,light,"In the sentence above, ""bright"" is used to describe intelligence or mental ability. The brightness of an object is associated with its visibility and clearness. Thus, the sentence is likening intelligence to something that is clear and visible. 
Source Domain: brightness or light",He is very bright.
intelligence,light,"In the above sentence, dim is used to describe a person who is not very intelligent or bright. The quality of brightness is used to describe a person's mental capacity. 
Source Domain: brightness",I always thought he was a little dim.
hope,light,"In the above sentence, clouds are being used as a metaphor for hope. Just like clouds bring the possibility of rain, they also bring a possibility of hope. 
Source Domain: weather/clouds",The clouds were a glimmer of hope that rain might come.
hope,light,"In the sentence above, hope is described as something that can be dim, just like light. This implies that hope can be quantified and that it can be brighter or dimmer depending on the circumstances.
Source Domain: light/darkness.",I have a very dim hope that he'll recover.
amount,length,"In the sentence above, money is described as a quantity that can be measured, just like a physical object. Thus, the sentence uses a metaphor to describe money as something that is tangible and measurable.
Source Domain: measuring quantity",He's short of money.
amount,length,"In the above sentence, intelligence is being quantified like a physical object that can be measured in terms of quantity or amount. 
Source Domain: measuring quantity or amount.",He's short on intelligence.
time,landscape,"In the sentence above, the phrase ""coming up on"" is used to refer to the approaching Christmas holiday. This metaphorical usage indicates that time is being thought of as a physical distance or space that can be traversed. 
Source Domain: space/distance",We're coming up on Xmas.
time,landscape,"In the sentence above, time is described as a physical distance that can be traveled. Just like someone can make it to a specific location, they can also make it to a specific time. 
Source Domain: space/location",He didn't make it to Tuesday.
love,journey,"In the sentence above, the crossroads is a metaphor for a decision point. This means that the relationship is at a point where a decision needs to be made, and different paths can be taken. 
Source Domain: paths/roads",They are at a crossroads in their relationship.
love,journey,"In the sentence above, marriage is described as something that can go off the track. The metaphor implies that love is like a train that needs to be kept on track to avoid accidents. 
Source Domain: train travel.",Their marriage has really gone off the track.
life,journey,"In the sentence above, life is being talked about as a journey with a destination, and the act of enjoying the journey is emphasized over knowing or reaching the destination. Life is being conceptualized as a journey or a path with ups and downs, twists and turns, and different experiences. 
Source Domain: journey/path.","I don't know where I'm headed, but I'm enjoying getting there."
life,journey,"In the sentence above, the person is described as heading towards great things, implying that their life is a journey that has a destination. Life is being metaphorically compared to a journey that has a direction and a goal. 
Source Domain: journey/direction/goal",He's headed for great things.
love,insanity,"In the sentence above, raving is used to describe the way in which he talks about her. Raving is associated with ecstatic and uncontrollable behavior, thus, suggesting an intensity of emotions. Therefore, the sentence is using the metaphor of love as a strong force that can make people act uncontrollably. 
Source Domain: uncontrollable behavior.",He raves about her.
love,insanity,"In the sentence above, love is being compared to being mad. Love is described in terms of madness, which suggests a lack of control and rationality.
Source Domain: madness",She is madly in love.
desire,hunger,"In the sentence above, drooling is used as an action to express desire. This implies that desire is equated with a physical act of drooling. 
Source Domain: physical reaction",He was drooling over her.
desire,hunger,"In the above sentence, hunger is used to describe a strong desire. Hunger is a basic physical need that drives humans to seek food for survival. By using the word hunger to describe desire, the sentence is creating a metaphor between the two domains.
Source Domain: basic physical need (hunger)",He hungers for her touch.
anger,heat,"In the sentence above, the person is described as a hothead. This implies that like a heated object, the person gets hot-headed or angry very quickly. 
Source Domain: temperature (heat)",She's a real hothead.
anger,heat,"In the sentence above, anger is being compared to fire or burning. Smouldering is a term used to describe burning or glowing with little smoke and no flame, which is an image associated with anger being kept under control, yet still present. 
Source Domain: fire/burning.",His eyes smouldered with rage.
beliefs,guides,"In the sentence above, beliefs are described as something that governs a person, just like a government governs a country. The use of the word ""govern"" implies that beliefs have control and authority over a person's actions and decisions.
Source Domain: government/politics",You are governed by your beliefs.
beliefs,guides,"In the sentence above, beliefs are being described as something that can be journeyed or traveled through. Beliefs are compared to a path or a route, implying that they guide and direct a person. 
Source Domain: path/route",You go by your beliefs.
final state,goal,"In the sentence above, the phrase “ended up” indicates the final state of exhaustion. The word ""ended"" refers to reaching the final point of something. Thus, exhaustion is seen as a final state or destination. 
Source Domain: travel/destination",I ended up exhausted.
final state,goal,"In the sentence above, bankruptcy is the final state or outcome of his reckless investments. Bankruptcy is talked about as a place or a destination that he is being taken to by the actions of his investments.
Source Domain: physical destination or journey",His reckless investments are taking him into backruptcy.
emotion,force,"In the above sentence, the speaker is describing their emotional reaction to the poem. Thus, emotions are being talked about as something that can cause physical movement or displacement in the body. 
Source Domain: physical movement/displacement",I was moved by the poem.
emotion,force,"In the sentence above, the person is described as being carried away by the song. This implies that the person is deeply emotionally moved by the song, and emotions are being talked about as something that can physically transport a person. 
Source Domain: physical movement/transportation",She was carried away by the song.
competition,fight,"In the sentence above, the speaker is describing a game of tennis as a physical fight. ""Clobber"" is a word used to describe hitting someone hard, suggesting a violent physical activity instead of a friendly game. 
Source Domain: physical fight/violence.",He clobbered me at tennis.
competition,fight,"In the sentence above, the swim teams are being talked about as if they were boxers, using the verb “to slug it out” which is usually used in a physical fight. The competition is thus understood as a physical fight between two opponents. 
Source Domain: physical fight",Those swim teams have been slugging it out all season.
light,fluid,"In the sentence above, light is described as a substance that can be poured, like a liquid. This metaphorical phrase emphasizes the quantity and intensity of the light entering the room. 
Source Domain: liquid",Sunlight poured into the room.
light,fluid,"In the sentence above, light is being described as a physical substance. By using the word “pools,” which is typically used to describe liquid, light is being metaphorically transformed into a physical substance that can be collected and scattered. 
Source Domain: liquid substance",Pools of light were scattered across the clearing.
ideas,food,"In the sentence above, food is used as a metaphor to describe ideas. Just like food nourishes the body, ideas nourish the brain. 
Source Domain: nourishment/food",She gave us some brain food.
ideas,food,"In the sentence above, the word ""feed"" is used to describe the transmission of information from London, indicating that ideas are being consumed by the receiver. This suggests that information is a form of food that is consumed by the mind. 
Source Domain: food/consumption",We have a live satellite feed from London.
desire,force,"In the sentence above, the attraction between the two people is described as being drawn to each other, thus suggesting desire or a strong pull towards one another. 
Source Domain: magnetism or attraction",They were drawn to each other.
desire,force,"In the sentence above, the electricity is used as a metaphor for the attraction or desire felt between the speaker and the other person. It is not referring to actual electricity. 
Source Domain: electricity (as a metaphor for desire or attraction)",I could feel the electricity between us.
communication,writing,"In the sentence above, guilt is described as something that is written on one's face. This metaphor suggests that emotions can be communicated or conveyed through physical appearance, like writing a message on a piece of paper.
Source Domain: writing/messages",His guilt was written all over his face.
communication,writing,"In the above sentence, the speaker is using the verb “to spell” to emphasize that they need to explain something in very clear terms. Thus, communication is being described as a process of spelling out sounds or words, just like in the physical world. 
Source Domain: spelling words",Do I have to spell it out for you?
influence,force,"In the sentence above, influence is described as something that can be exerted, just like physical force. Thus, the concept of influence is being talked about in terms of exerting force on an object. 
Source Domain: physical force.",He can exert his influence on her.
influence,force,"In the above sentence, pressure is being used as a metaphor for the exertion of influence or force. Just like physical pressure can make an object move or change its shape, exerting pressure can make someone make a decision or take action. 
Source Domain: physical pressure",Reagan brought pressure to bear upon his cabinet.
end of action,goal,"In the sentence above, the process is compared to a journey that one takes from the beginning to the end. The end of the process is thus seen as the end of a journey. 
Source Domain: journey",We are reaching the end of the house-buying process.
end of action,goal,"In the sentence above, filing for bankruptcy is being described as something that has stages, with a clear beginning and end. Thus, the end of the action of filing for bankruptcy is being talked about metaphorically as the last stages. 
Source Domain: journey or process",We are entering the last stages of filing for bankrupcy.
getting,eating,"In the sentence above, the phrase ""cough up"" is used as a metaphorical way of saying to retrieve or obtain money. This metaphor is derived from the physical act of coughing something up or bringing something up from the depths of one's body, thus the source domain would be removing something from the inside of oneself.",Cough up the money you owe me!
getting,eating,"In the sentence above, the speaker is providing funds illegally. The act of providing funds can be seen as a physical transfer of objects or substances, and in this case, the funds are being treated as a kind of food that sustains the recipient. Thus, the sentence employs a conceptual metaphor where giving money is like feeding something. 
Source Domain: feeding",I've been feeding him funds illegally for a year.
problem,path,"In the above sentence, the line of thinking refers to a series of connected ideas or thoughts that are being explored. The sentence uses the metaphor of following a line, like a path, to describe the process of exploring and navigating through these ideas.
Source Domain: path",Let's follow this line of thinking.
problem,path,"In the above sentence, it is implied that there was a problem with the thinking that needs to be corrected. Thinking is being described as a train that is getting back on track to its intended destination.
Source Domain: transportation/trains.",Let's get our thinking back on track.
intoxication,electrification,"In the sentence above, wired is used to describe a state of being. Wired is typically used to describe being under the influence of stimulants, such as caffeine or amphetamines. Thus, the metaphorical understanding of being wired is being high or intoxicated. 
Source Domain: intoxication",He was wired.
intoxication,electrification,"In the sentence above, ""lit"" is being used in a metaphorical sense to indicate that the person is intoxicated, as if they were on fire or being illuminated by lights. 
Source Domain: light/intensity",He was lit.
emotion,heat,"In the above sentence, the crowd is described as being fired up. Fire and heat are usually associated with intense emotions like excitement or anger. Here, the emotional state of the crowd is being compared to a physical sensation of heat. 
Source Domain: heat and fire",The crowd was all fired up.
emotion,heat,"In the sentence above, the emotion is described as ""burning"", which is a physical sensation or experience. This implies that emotions are being conceptualized as physical objects that can cause physical sensations. 
Source Domain: physical sensation or experience.",He had a burning emotion.
affection,warmth,"In the sentence above, the welcome is described as being warm. The warmth in this context refers to the person's affection towards the speaker, creating an emotional connection between the two. 
Source Domain: physical temperature",They gave me a warm welcome.
affection,warmth,"In the sentence above, ""warming up"" refers to becoming more friendly and familiar with someone over time. The metaphorical transfer is from physical warmth to emotional warmth or affection. 
Source Domain: temperature or warmth.",He took a while to warm up to me.
compliance,following,"In the sentence above, ""went along"" refers to compliance where the person follows what they were told to do. ""Going along"" is a metaphor that compares compliance to physical movement in the same direction as someone else. 
Source Domain: physical movement.",He went along with what he was told to do.
compliance,following,"In the sentence above, the subject followed the orders. Following is a movement verb and orders are something that needs to be followed, indicating that compliance is being described metaphorically as physical movement.
Source Domain: physical movement",He followed his orders.
ideas,container,"In the sentence above, ideas are being described as something that can be physically held inside the mind, like an object that can be removed. 
Source Domain: objects inside a container",I can't get this idea out of my mind.
ideas,container,"In the sentence above, ""mind"" is used to refer to the ideas or thoughts that someone has. This implies that ideas are located within someone's mind, and can be brought out and communicated to others. 
Source Domain: location within a physical space.",What did you have in mind?
more,up,"In the sentence above, the quantity of people is being described as going up. This implies there is more than there was before, which is the basic concept of ""more"". 
Source Domain: quantity/comparison",The number of people living in poverty went up.
more,up,"In the sentence above, assignments are described in terms of quantity, there is a perceived excess or abundance of assignments. Thus, to decrease means to take away from the quantity or amount of assignments. 
Source Domain: quantity/amount.",Can you please decrease the number of assignments?
ideas,object,"In the sentence above, ideas are being talked about as a physical object that can be given away or transferred from one person to another. This suggests that ideas are treated as possessions in this metaphor. 
Source Domain: Possessions",Sally gave the idea to Sam.
ideas,object,"In the sentence above, the idea is referred to as a commodity that can be bought and sold, like a physical object. This suggests that there is a metaphorical mapping between ideas and physical commodities. 
Source Domain: commerce/trade.",IBM bought the idea from him.
strong emotion,insanity,"In the sentence above, grief is referred to as something that can make someone lose their mind. Emotions are being described as forces that can affect the mind and cause it to behave in irrational ways.
Source Domain: force affecting a physical object (mind)",He's out of his mind with grief.
strong emotion,insanity,"In the sentence above, jealousy is described as something that can make someone mad or crazy. This suggests a strong emotional reaction to jealousy.
Source Domain: insanity or loss of control",I'm mad with jealousy.
intoxication,burden,"In the above sentence, the word ""loaded"" is used metaphorically to mean intoxicated or drunk. The concept of being ""loaded"" is understood through the related concept of being under the influence of a substance. 
Source Domain: substance abuse.",She was loaded.
intoxication,burden,"In the sentence above, tanked up is used to refer to the state of being intoxicated. Tanked up is a phrase that is usually used in regards to filling up an object with liquid or gas, making it full or overflowing. This metaphor is transferred to the state of being drunk or intoxicated. 
Source Domain: filling up an object with liquid or gas",She was tanked up.
rational,up,"In the above sentence, the rational plane refers to a higher level of discussion or thinking, while the emotional level is considered a lower level. This implies a conceptual metaphor where reasoning or logical thinking is associated with being higher or above emotional thinking or feeling. 
Source Domain: verticality (higher vs. lower)","The discussion fell to the emotional level, but I raised it back up to the rational plane."
rational,up,"In the sentence above, emotions are being talked about as a physical obstacle that prevents someone from rising, that is, getting ahead. Thus, rationality is being compared to physical elevation. 
Source Domain: physical elevation",He couldn't rise above his emotions.
excitement,insanity,"In the above sentence, excitement is described as something that is driving a person. This is a metaphorical transfer of the concept of driving a vehicle onto the abstract concept of excitement. 
Source Domain: driving a vehicle.",The excitement is driving me over the edge.
death,not metaphoric,"In the sentence above, death is being described as an event that can be found, just like an object or a location. This implies that death is being conceptualized as a physical entity or object. 
Source Domain: objects/locations.",The day of the hearing of her second case she had been found dead.
emotions,not metaphoric,"In the sentence above, the speaker is describing their emotional state using the physical sensation of an electric shock. This highlights the connection between physical sensations and emotions.
Source Domain: physical sensation.",I was shocked for a minute.
moving,not metaphoric,"In the sentence above, advancing is used to describe Daniel's movement. Movement is being talked about as forward advancement. 
Source Domain: forward advancement",They saw Daniel advancing.
memories,not metaphoric,"In the above sentence, the absence of anything that reminds the person of Ecalpemos indicates that memories are being referred to as physical objects that can be present or absent in a certain physical space, such as a house. 
Source Domain: physical objects in a space.",There was nothing in his house to remind him of Ecalpemos.
sleep,not metaphoric,"In the sentence above, the state of being asleep is described as a destination that one can almost reach, similar to a physical location. 
Source Domain: physical location/destination",She was almost asleep.
family,not metaphoric,"In the sentence above, the possession, “parents’ house,” is used to describe where Adam is located, implying a relationship between Adam and his parents. The concept of family is being used in a metaphorical sense to talk about the location of Adam. 
Source Domain: possession/ location","Adam sat in his parents' house, drinking tea."
newspapers,not metaphoric,No conceptual metaphor is being used in this sentence. It is a literal statement indicating a lack of exposure to English newspapers.,He did not even see an English newspaper.
liking,not metaphoric,"In the above sentence, the subject talks about her feelings about Miss Fitch. Liking is often described as a positive experience involving feelings of attraction and affinity. Here, the absence of liking is treated as something that can be explicitly stated and described.
Source Domain: sense of taste or preference.",I don't like Miss Fitch.
understanding,not metaphoric,"In the sentence above, understanding is being talked about as a physical location that you can be in or out of. If you don’t understand something, you are considered to be outside of its “area” or “location”. 
Source Domain: physical location",I don't understand business.
distance,not metaphoric,"In the sentence above, the concept of distance is being communicated through the use of the word ""near."" Near implies a physical proximity between two objects, which does transferred to the concept of distance. 
Source Domain: physical proximity.",They ought to be near him soon.
doors,not metaphoric,"In the above sentence, the door is being talked about as something that can be opened. This suggests the door is more than just a physical object, but representative of access or opportunity. 
Source Domain: access/opportunity",And don't try and get the door open.
scanning ,not metaphoric,"In the sentence above, scanning is used in a literal sense, referring to the physical act of looking quickly up and down to gather information. 
Source Domain: not metaphoric",Lawton scanned upwards.
distance,not metaphoric,"In the sentence above, the speaker implies that distance has a positive effect. The further away something is, the better it is. Thus, distance is described as a positive attribute. 
Source Domain: positivity",The further away the better.
arriving ,not metaphoric,"In the sentence above, Lawton is described as ""coming"" to the object. Coming is a verb that is often used to describe physical movement towards a destination. Here, Lawton's movement towards the object is being described using physical verbs to convey the sense of arriving at a destination. 
Source Domain: physical movement",Lawton came and crouched down in front of it.
ideas,not metaphoric,"In the sentence above, ideas are being referred to as something that can be ""good"" or ""bad"", like physical objects. This suggests that ideas are being talked about as if they have inherent properties and can be evaluated based on those properties.
Source Domain: inherent properties of physical objects.",I think it 's a good idea.
communication,not metaphoric,"In the sentence above, the lack of communication is being described. Nobody speaking is like a quiet physical space, as if there is an absence of sound. Thus, the lack of communication is being compared to silence in the physical world.
Source Domain: silence",Nobody spoke immediately.
results,not metaphoric,"In the above sentence, the output from the system is being described as both tabular and graphical. The word output suggests that results are being produced. Results are being compared to something that can be seen, like a table or a graph, which are physical objects. 
Source Domain: physical objects",Output from the system is both tabular and graphical .
paths  ,not metaphoric,"In the sentence above, routes are being described as chosen paths. This metaphorical transfer implies that choosing a route is similar to choosing a physical path. 
Source Domain: physical paths",Chosen routes were those which minimized population rather than distance.
property,not metaphoric,"In the sentence above, cattle and land are referred to as something that can be sold, thus reduced to a commodity that can be bought and sold. Therefore, property is being talked about as a commercial product. 
Source Domain: commercial exchange",Are we to sell our cattle or our land? 
